"name","group","id","Razão de dependência","Taxa de frequência bruta ao médio","Taxa de frequência bruta à pré-escola","Taxa de frequência bruta ao superior","Taxa de frequência líquida ao médio","Taxa de frequência líquida à pré-escola","Taxa de frequência líquida ao superior","% de 0 a 3 anos na escola","% de 4 a 5 anos na escola","% de 25 anos ou mais com superior completo","Renda per capita","Renda per capita , exceto renda nula","População total em domicílios particulares permanentes, exceto com renda nula","IDHM"
"GOVERNADOR JORGE TEIXEIRA","Rondônia",110100,51.22,76.01,23.87,6.78,46.56,23.87,1.94,8.13,39.08,2.93,396.36,404.89,10228,0.596
"ITAPUÃ DO OESTE","Rondônia",110110,57.14,47.73,36.61,15.29,32.22,34.51,5.21,5.29,61.53,4.02,411.36,417.95,8309,0.614
"MINISTRO ANDREAZZA","Rondônia",110120,51.97,64.33,34.88,20.72,34.94,31.12,11.23,4.76,46.35,3.85,448.38,475.43,9763,0.638
"MIRANTE DA SERRA","Rondônia",110130,53.4,59.29,56.15,13.41,33.43,55.23,5.67,4.64,66.1,4.12,527.79,537.84,11656,0.643
"MONTE NEGRO","Rondônia",110140,55.53,50.72,21.76,16.2,29.66,19.98,6.65,2.06,30.56,5.07,443.85,453.52,13720,0.607
"NOVA UNIÃO","Rondônia",110143,50.46,58.51,40.35,7.88,34.82,36.4,1.34,4.5,41.65,2.85,352.24,359.68,7326,0.587
"PARECIS","Rondônia",110145,50.08,63.16,23.88,6,38.33,23.88,3.68,1.67,34.2,4.8,343.73,374.53,4381,0.617
"PIMENTEIRAS DO OESTE","Rondônia",110146,56.78,63.4,44.63,14.84,42.03,43.22,1.35,1.49,52.96,5.92,493.67,504.68,2225,0.665
"PRIMAVERA DE RONDÔNIA","Rondônia",110147,51.77,68.59,47.94,27.66,42.91,47.94,11.84,22.37,66.08,3.03,442.61,455.21,3393,0.641
"SÃO FELIPE D'OESTE","Rondônia",110148,47,82.85,44.95,30.81,57.26,44.95,14.28,0,49.8,4.5,368.24,376.09,5871,0.649
"SÃO FRANCISCO DO GUAPORÉ","Rondônia",110149,52.4,49.41,11.77,11.21,31.33,11.12,2.81,2.7,19.08,5.07,477.9,496.39,15401,0.611
"SERINGUEIRAS","Rondônia",110150,51.39,58.18,11.26,3.36,34.73,9.79,1.1,4.34,19.44,2.9,441.13,469.25,10744,0.598
"TEIXEIRÓPOLIS","Rondônia",110155,49.94,78.17,30.37,6.56,48.31,27.86,3.21,16.69,43.33,3.66,464.45,472.26,4774,0.643
"THEOBROMA","Rondônia",110160,51.48,63.13,37.98,7.43,33.91,34.16,0.93,5.7,39.15,4.06,382.6,419.15,9434,0.589
