"name","group","id","Razão de dependência 2000","Taxa de frequência bruta ao superior 2000","Taxa de frequência líquida ao superior 2000","Taxa de frequência bruta ao superior","Taxa de frequência líquida ao superior","Renda per capita , exceto renda nula 2000","Renda per capita , exceto renda nula 2010","% Variação renda per capita exceto nula 2000-2010","Renda per capita 2000","Renda per capita 2010","% Variação renda per capita 2000-2010","IDHM 2000","IDHM","% de 25 anos ou mais com superior completo"
"SÃO SEBASTIÃO DO UATUMÃ","Amazonas",130395,97.74,2.8,0.58,10.94,5.71,158.76,271.79,71.1955152431343,147.69,262.79,77.9335093777507,0.428,0.577,2.39
"SILVES","Amazonas",130400,96.1,2.63,0,5.97,1.24,250.57,243.75,-2.72179430897553,226.09,238.53,5.50223362377814,0.486,0.632,6.61
"TABATINGA","Amazonas",130406,85.9,4.26,1,18.74,8.1,291.36,356.02,22.1924766611752,279.82,338.4,20.9348867128868,0.47,0.616,5.96
"TAPAUÁ","Amazonas",130410,109.92,0.12,0,5.24,2.19,118.91,214.24,80.1698763770919,95.65,193.97,102.791427077888,0.293,0.502,3.59
"TEFÉ","Amazonas",130420,87.88,0.46,0.13,16.56,6.81,247.18,432.38,74.9251557569383,236.73,421.41,78.0129261183627,0.438,0.639,7.99
"TONANTINS","Amazonas",130423,107.49,0,0,3.94,2.12,120.11,213.97,78.1450337190908,112.67,189.15,67.8796485311085,0.327,0.548,4.56
"UARINI","Amazonas",130426,104.02,0.68,0,8.19,3.8,162.81,251.19,54.2841348811498,148.94,223.11,49.7985766080301,0.358,0.527,2.79
"URUCARÁ","Amazonas",130430,92.44,4.48,1.32,2.7,1.75,306.46,251.39,-17.9697187234876,289.82,246.99,-14.7781381547167,0.487,0.62,3.58
"URUCURITUBA","Amazonas",130440,102.78,0.28,0.28,3.29,0.47,151.72,240.56,58.5552333245452,126.6,227.55,79.739336492891,0.427,0.588,2.86
"AMAJARI","Roraima",140002,90.13,0.55,0,4.45,0.49,236.68,213.56,-9.76846374852121,179.02,121.32,-32.2310356384762,0.42,0.484,1.3
"ALTO ALEGRE","Roraima",140005,78.3,3.13,0.72,23.71,8.63,188.4,324.32,72.1443736730361,156.73,201.32,28.4502009825815,0.46,0.542,3.54
"BOA VISTA","Roraima",140010,63.02,12.94,4.11,45.32,17.39,600.05,788.91,31.4740438296809,592.6,786.55,32.7286533918326,0.649,0.752,12.99
"BONFIM","Roraima",140015,94.86,2.11,0,12.31,2.06,195.66,369.55,88.8735561688644,192.73,329.22,70.8192808592331,0.458,0.626,4.95
"CANTÁ","Roraima",140017,78.53,4.28,1.36,18.92,4.17,250.81,343.37,36.9044296479407,245.1,297.59,21.4157486740106,0.499,0.619,4.63
"CARACARAÍ","Roraima",140020,80.91,3.03,0.56,22.26,6.08,353.56,349.41,-1.17377531394954,322,336.05,4.36335403726709,0.521,0.624,4.61
"CAROEBE","Roraima",140023,77.48,5.32,0.65,30.99,9.23,324.39,344.68,6.25481673294492,266.73,334.97,25.5839238180932,0.492,0.639,5.13
"IRACEMA","Roraima",140028,78.21,3.59,1.56,18.12,6.34,303.04,325.9,7.54355860612459,292.96,261.18,-10.8478973238667,0.518,0.582,3.37
