"name","group","id","Taxa de frequência líquida à pré-escola","% de 0 a 3 anos na escola","IDHM","Taxa de frequência líquida à pré-escola 2000","Renda per capita 2000","Renda per capita 2010","% Variação renda per capita 2000-2010","IDHM 2000","Razão de dependência 2000","% de 0 a 3 anos na escola"
"SANTA ISABEL DO RIO NEGRO","Amazonas",130360,19.65,3.76,0.479,19.33,106.81,141.04,32.0475610897856,0.384,89.27,0.83
"SANTO ANTÔNIO DO IÇÁ","Amazonas",130370,32.64,12,0.49,8.22,90.43,122.21,35.1432046887095,0.306,109.2,0.67
"SÃO GABRIEL DA CACHOEIRA","Amazonas",130380,34.17,15.59,0.609,24.17,213.37,355.51,66.6166752589399,0.478,78.3,1.78
"SÃO PAULO DE OLIVENÇA","Amazonas",130390,37.12,7.05,0.521,10.17,102.57,150.28,46.5145754119138,0.324,103.03,2.01
"SÃO SEBASTIÃO DO UATUMÃ","Amazonas",130395,25.22,5.16,0.577,0,147.69,262.79,77.9335093777507,0.428,97.74,0
"SILVES","Amazonas",130400,31.88,9.62,0.632,26.45,226.09,238.53,5.50223362377814,0.486,96.1,7.95
"TABATINGA","Amazonas",130406,33.88,9.07,0.616,23.34,279.82,338.4,20.9348867128868,0.47,85.9,1.36
"TAPAUÁ","Amazonas",130410,17.13,12.06,0.502,3.81,95.65,193.97,102.791427077888,0.293,109.92,0.19
"TEFÉ","Amazonas",130420,40.3,8.2,0.639,7.79,236.73,421.41,78.0129261183627,0.438,87.88,1.77
"TONANTINS","Amazonas",130423,45.54,19.7,0.548,9.87,112.67,189.15,67.8796485311085,0.327,107.49,0.39
"UARINI","Amazonas",130426,41.52,21.81,0.527,10.2,148.94,223.11,49.7985766080301,0.358,104.02,2.01
"URUCARÁ","Amazonas",130430,45.97,8.61,0.62,25.61,289.82,246.99,-14.7781381547167,0.487,92.44,0.79
"URUCURITUBA","Amazonas",130440,22.87,10.54,0.588,23.7,126.6,227.55,79.739336492891,0.427,102.78,3.25
"AMAJARI","Roraima",140002,24.29,9.09,0.484,38.06,179.02,121.32,-32.2310356384762,0.42,90.13,6.12
"ALTO ALEGRE","Roraima",140005,32.94,7.23,0.542,23.17,156.73,201.32,28.4502009825815,0.46,78.3,7.47
"BOA VISTA","Roraima",140010,45.03,16.44,0.752,57.01,592.6,786.55,32.7286533918326,0.649,63.02,10.86
"BONFIM","Roraima",140015,31.95,13.09,0.626,27.94,192.73,329.22,70.8192808592331,0.458,94.86,10.99
"CANTÁ","Roraima",140017,38.46,18.34,0.619,52,245.1,297.59,21.4157486740106,0.499,78.53,13.17
"CARACARAÍ","Roraima",140020,28.93,16.95,0.624,42.61,322,336.05,4.36335403726709,0.521,80.91,10.43
"CAROEBE","Roraima",140023,52.09,5.13,0.639,38.62,266.73,334.97,25.5839238180932,0.492,77.48,1.71
"IRACEMA","Roraima",140028,34.08,20.2,0.582,65.6,292.96,261.18,-10.8478973238667,0.518,78.21,19.26
"MUCAJAÍ","Roraima",140030,50.99,13.88,0.665,44.27,335.18,487.66,45.4919744614834,0.55,70.85,7.11
"NORMANDIA","Roraima",140040,28.33,27.77,0.594,7.54,118,203.43,72.3983050847458,0.373,102.78,7.07
"PACARAIMA","Roraima",140045,44.97,25.46,0.65,59.81,321.85,388.35,20.6617989746776,0.544,93.04,8.16
"RORAINÓPOLIS","Roraima",140047,47.13,11.89,0.619,29.74,282.52,284.22,0.601727311340806,0.501,75.01,1.36
"SÃO JOÃO DA BALIZA","Roraima",140050,43.61,14.34,0.655,58.96,258.85,365.67,41.2671431330887,0.538,71.72,2.14
"SÃO LUIZ","Roraima",140060,45.62,18.35,0.649,50.59,295.57,344.73,16.6322698514734,0.545,71.43,9.58
"UIRAMUTÃ","Roraima",140070,33.21,7.9,0.453,20.85,76.77,123.16,60.4272502279536,0.333,115.29,1.24
"ABAETETUBA","Pará",150010,67.04,9.29,0.628,57.45,206.84,293.01,41.6602204602591,0.501,78.16,8.87
"ABEL FIGUEIREDO","Pará",150013,58.85,16.47,0.622,48.43,317.56,390.12,22.8492253432422,0.508,67.9,9.35
"ACARÁ","Pará",150020,36.03,21.1,0.506,20.85,160.07,199.34,24.5330168051478,0.35,87.41,5.69
"AFUÁ","Pará",150030,29.27,10.74,0.489,18.9,147.25,163.98,11.3616298811545,0.33,103.08,1.77
"ÁGUA AZUL DO NORTE","Pará",150034,24.1,22.35,0.564,2.84,269.22,266.02,-1.18861897333038,0.376,59.03,3.62
"ALENQUER","Pará",150040,54.25,13.67,0.564,26.72,165.11,215.33,30.4160862455333,0.433,90.8,6.22
"ALMEIRIM","Pará",150050,47.25,8.77,0.642,37.35,486.59,484.16,-0.499393740109733,0.526,79.01,7.07
"ALTAMIRA","Pará",150060,52.29,17.36,0.665,26.03,401.93,492.05,22.4218147438609,0.534,64.22,5.35
"ANAJÁS","Pará",150070,23.2,5.72,0.484,7.7,182.07,186.88,2.64184105014555,0.307,108.82,2
"ANANINDEUA","Pará",150080,55.92,18.34,0.718,45.56,379.8,564.76,48.6993154291732,0.606,54.06,11.37
"ANAPU","Pará",150085,29.06,3.68,0.548,15.5,226.8,266.28,17.4074074074074,0.392,81.15,3.08
"AUGUSTO CORRÊA","Pará",150090,38.38,7.28,0.52,5.54,134.87,159.05,17.9283754726774,0.335,95.52,0.82
"AURORA DO PARÁ","Pará",150095,42.54,7.38,0.519,17.03,169.67,184.39,8.67566452525491,0.358,90.92,3.36
"AVEIRO","Pará",150100,10.94,11.15,0.541,27.23,103.81,148.71,43.2520951738754,0.368,94.58,4.81
"BAGRE","Pará",150110,20.41,9.84,0.471,14.44,112.14,159.41,42.1526663099697,0.33,116.93,5.3
"BAIÃO","Pará",150120,61.38,17.34,0.578,53.66,162.04,226.99,40.0826956307085,0.459,86.63,7.2
"BANNACH","Pará",150125,36.69,5.46,0.594,27.02,246.16,416.31,69.1217094572636,0.424,61.61,0
"BARCARENA","Pará",150130,43.34,13.18,0.662,45.29,348.03,437.43,25.6874407378674,0.554,74.2,7.16
"BELÉM","Pará",150140,59.37,22.24,0.746,51,625.48,853.82,36.5063631131291,0.644,49.81,12.05
"BELTERRA","Pará",150145,35.94,15.37,0.588,7.81,121.84,241.57,98.2682206172029,0.396,80,3.44
"BENEVIDES","Pará",150150,54.05,10.91,0.665,51.25,279.63,385.83,37.9787576440296,0.529,66.03,5.48
"BOM JESUS DO TOCANTINS","Pará",150157,33.87,17.63,0.589,21.89,210.85,337.28,59.9620583353095,0.429,72.74,10.1
"BONITO","Pará",150160,33.75,21.18,0.546,28.85,160.09,218.05,36.2046348928728,0.381,76.96,5.24
"BRAGANÇA","Pará",150170,39.67,4.98,0.6,31.62,206,311.97,51.4417475728155,0.458,79.47,3.14
"BRASIL NOVO","Pará",150172,26.31,19.5,0.613,9.46,289.98,408.55,40.8890268294365,0.433,68.34,5.97
"BREJO GRANDE DO ARAGUAIA","Pará",150175,59.88,20.99,0.591,34.46,222.21,310.08,39.5436749021196,0.496,78.05,27.96
"BREU BRANCO","Pará",150178,59.45,6.23,0.568,37.24,259.8,252.31,-2.88298691301001,0.422,83.23,6.07
"BREVES","Pará",150180,28.53,7.25,0.503,18.37,170.14,209.14,22.9222992829435,0.372,101.01,0.66
"BUJARU","Pará",150190,46.19,15.27,0.552,18.7,140.75,174.18,23.7513321492007,0.395,87.25,1.88
"CACHOEIRA DO PIRIÁ","Pará",150195,37.17,15.73,0.473,35.5,100.36,130.4,29.9322439218812,0.301,88.69,5.22
"CACHOEIRA DO ARARI","Pará",150200,37.39,30.86,0.546,34.26,234.73,209.79,-10.6249733736634,0.427,89,11.06
"CAMETÁ","Pará",150210,50.63,16.32,0.577,31.66,138.85,226.99,63.4785740007202,0.432,92.67,5.7
"CANAÃ DOS CARAJÁS","Pará",150215,35.76,7.61,0.673,19.93,335.44,517.33,54.2243024087765,0.456,64.27,1.47
"CAPANEMA","Pará",150220,62.43,22.48,0.655,35.91,281.25,356.27,26.6737777777778,0.533,65.89,8.48
"CAPITÃO POÇO","Pará",150230,44.52,9.02,0.548,18.89,182.2,283.1,55.3787047200878,0.379,82.87,5.54
"CASTANHAL","Pará",150240,41.69,8.75,0.673,30.6,321.14,467.32,45.5190882481161,0.55,61.9,5.11
"CHAVES","Pará",150250,27,10.32,0.453,7.85,125.16,198.83,58.8606583573027,0.289,92.99,3.43
"COLARES","Pará",150260,74.98,26.06,0.602,74.56,192.7,231.98,20.3840166061235,0.524,81.65,24.56
"CONCEIÇÃO DO ARAGUAIA","Pará",150270,36.16,6.66,0.64,24.14,304.21,405.29,33.2270471056178,0.512,67.1,5.11
"CONCÓRDIA DO PARÁ","Pará",150275,59.25,19.51,0.566,23.44,235.7,260.68,10.5982180738227,0.402,86.01,5.77
"CUMARU DO NORTE","Pará",150276,23.39,9.86,0.55,21.54,352.74,417.06,18.2343936043545,0.405,62.02,2.79
"CURIONÓPOLIS","Pará",150277,41.22,14.68,0.636,25.54,220.85,319.35,44.6004075164139,0.449,75.36,2.47
"CURRALINHO","Pará",150280,14.95,8.7,0.502,3.63,177.48,188.88,6.42325895875592,0.323,108.02,3.33
"CURUÁ","Pará",150285,65.61,26.99,0.578,57.89,122.71,180.94,47.4533452856328,0.383,98.84,14.13
"CURUÇÁ","Pará",150290,61.57,9.68,0.582,56.17,218.46,233.96,7.09512038817175,0.474,82.86,11.22
"DOM ELISEU","Pará",150293,43.55,11.31,0.615,34.49,288,348.04,20.8472222222222,0.452,72.24,3.39
"ELDORADO DOS CARAJÁS","Pará",150295,22.86,6.07,0.56,11.18,205.12,281.12,37.0514820592824,0.389,80.38,4.4
"FARO","Pará",150300,35.49,30.07,0.563,34.44,130.14,180.47,38.6737359766406,0.431,93.24,17.27
"FLORESTA DO ARAGUAIA","Pará",150304,42.4,6.66,0.583,18.03,181.76,283.57,56.0134242957747,0.411,73.62,1.65
"GARRAFÃO DO NORTE","Pará",150307,62.84,21.05,0.526,20.46,140.56,229.91,63.5671599317018,0.331,95.22,3.58
"GOIANÉSIA DO PARÁ","Pará",150309,52.75,15.41,0.56,21,286.06,303.9,6.23645389079213,0.422,74.63,6.98
"GURUPÁ","Pará",150310,26.85,15.75,0.509,11.75,147.93,191.06,29.1556817413641,0.349,99.52,4.82
"IGARAPÉ-AÇU","Pará",150320,51.83,14.02,0.595,39.25,177.11,293.71,65.8347919372141,0.459,75.82,7.9
